Codigo Krona;Codigo Brasal;;Descrição;Valor;
673;3520;UN;ANEL VEDACAO PARA ESGOTO 100MM; R$ 0,845 ; 
674;3667;UN;ANEL VEDACAO PARA ESGOTO 150MM; R$ 3,300 ;
678;5520;UN;ANEL VEDACAO PARA ESGOTO 200MM; R$ 8,039 ;
670;6162;UN;ANEL VEDACAO PARA ESGOTO 40MM; R$ 0,520 ;
671;3528;UN;ANEL VEDACAO PARA ESGOTO 50MM; R$ 0,455 ;
672;3519;UN;ANEL VEDACAO PARA ESGOTO 75MM; R$ 0,754 ;
655;3511;UN;BUCHA REDUCAO PVC ESGOTO 100X50MM NBR 5.688; R$ 3,445 ;
656;6328;UN;BUCHA REDUCAO PVC ESGOTO 100X75MM NBR 5.688; R$ 4,580 ;
592;3513;UN;BUCHA REDUCAO PVC ESGOTO 50X40MM NBR 5.688; R$ 0,950 ;
654;3512;UN;BUCHA REDUCAO PVC ESGOTO 75X50MM NBR 5.688; R$ 3,430 ;
592;15860;UN;BUCHA REDUCAO PVC ESGOTO LONGA 50X40MM NBR 5.688; R$ 1,222 ;
1400;13024;UN;BUCHA REDUCAO PVC ESGOTO SERIE R 50X40MM NBR 5.688; R$ 1,350 ;
596;3498;UN;CAPS PVC ESGOTO 100MM NBR 5.688; R$ 4,100 ;
597;4584;UN;CAPS PVC ESGOTO 150MM NBR 5.688; R$ 11,614 ;
598;8433;UN;CAPS PVC ESGOTO 200MM NBR 5.688; R$ 39,928 ;
593;6164;UN;CAPS PVC ESGOTO 40MM NBR 5.688; R$ 0,624 ;
594;3496;UN;CAPS PVC ESGOTO 50MM NBR 5.688; R$ 2,100 ;
595;3497;UN;CAPS PVC ESGOTO 75MM NBR 5.688; R$ 2,600 ;
1404;9259;UN;CAPS PVC ESGOTO SERIE R 100MM NBR 5.688; R$ 6,665 ;
1405;7065;UN;CAPS PVC ESGOTO SERIE R 150MM NBR 5.688; R$ 11,824 ;
1402;7066;UN;CAPS PVC ESGOTO SERIE R 50MM NBR 5.688; R$ 1,430 ;
1403;7067;UN;CAPS PVC ESGOTO SERIE R 75MM NBR 5.688; R$ 2,430 ;
610;6762;UN;CURVA PVC ESGOTO 45°X150MM NBR 5.688; R$ 81,016 ;
608;4469;PC;CURVA PVC ESGOTO 45°X75MM NBR 5.688; R$ 21,368 ;
601;3500;UN;CURVA PVC ESGOTO 75MM NBR 5.688; R$ 8,774 ;
601;4459;UN;CURVA PVC ESGOTO 90°X75MM NBR 5.688 NBR 5.688; R$ 8,774 ;
729;3540;UN;CURVA PVC ESGOTO CURTA 45°X100MM NBR 5.688; R$ 15,280 ;
602;3559;UN;CURVA PVC ESGOTO CURTA 90°X100MM NBR 5.688; R$ 11,530 ;
599;9001;UN;CURVA PVC ESGOTO CURTA 90°X40MM NBR 5.688; R$ 2,385 ;
600;9000;UN;CURVA PVC ESGOTO CURTA 90°X50MM NBR 5.688; R$ 4,170 ;
1410;13243;UN;CURVA PVC ESGOTO CURTA SERIE R 90°X100MM NBR 5.688; R$ 13,143 ;
1407;14959;UN;CURVA PVC ESGOTO CURTA SERIE R 90°X50MM NBR 5.688; R$ 3,400 ;
1409;13242;UN;CURVA PVC ESGOTO CURTA SERIE R 90°X75MM NBR 5.688; R$ 6,452 ;
609;8909;UN;CURVA PVC ESGOTO LONGA 45°X100MM NBR 5.688; R$ 26,641 ;
610;10272;UN;CURVA PVC ESGOTO LONGA 45°X150MM NBR 5.688; R$ 81,016 ;
606;10307;UN;CURVA PVC ESGOTO LONGA 45°X40MM NBR 5.688; R$ 4,021 ;
607;8999;UN;CURVA PVC ESGOTO LONGA 45°X50MM NBR 5.688; R$ 6,900 ;
608;15859;UN;CURVA PVC ESGOTO LONGA 45°X75MM NBR 5.688; R$ 21,368 ;
636;8908;UN;CURVA PVC ESGOTO LONGA 90°X100MM NBR 5.688; R$ 23,975 ;
637;6165;UN;CURVA PVC ESGOTO LONGA 90°X150MM NBR 5.688; R$ 86,530 ;
1410;7077;UN;CURVA PVC ESGOTO SERIE R  87°X100MM NBR 5.688; R$ 13,143 ;
1425;7078;UN;CURVA PVC ESGOTO SERIE R  87°X75MM NBR 5.688; R$ 5,580 ;
1411;4575;PC;CURVA PVC ESGOTO SERIE R 87º 150MM NBR 5.688; R$ 33,340 ;
1411;7079;UN;CURVA PVC ESGOTO SERIE R 90°X150MM NBR 5.688; R$ 33,340 ;
1411;4482;PC;CURVA PVC ESGOTO SERIE R COLUNA  87° 30X150MM NBR 5.688; R$ 33,340 ;
1410;4467;PC;CURVA PVC ESGOTO SERIE R COLUNA  87° 30°X100MM NBR 5.688; R$ 13,143 ;
1409;4466;PC;CURVA PVC ESGOTO SERIE R COLUNA  87° 30°X75MM NBR 5.688; R$ 6,448 ;
614;3479;UN;JOELHO PVC ESGOTO 45°X100MM NBR 5.688; R$ 4,120 ;
615;5522;UN;JOELHO PVC ESGOTO 45°X150MM NBR 5.688; R$ 19,136 ;
714;4869;PC;JOELHO PVC ESGOTO 45°X200MM NBR 5.688; R$ 64,230 ;
611;3476;UN;JOELHO PVC ESGOTO 45°X40MM NBR 5.688; R$ 1,001 ;
