CÓDIGO MRV;Código Krona;Código Tigre;Código Amanco;Descrição Curta;Descrição Longa;UMP;Embalagem Padrão;PR;SC;RS;MT;MS;GO;DF
1050433;;;;"FLANGE PVC RIG PRED;LI;S/FUROS;110MM";"FLANGE PVC RIGIDO PREDIAL;CONSTRUCAO APERTO:LISO;FURACAO:S/FUROS;APLICACAO:AGUA FRIA;DIAMETRO/ROSCA:110MM;CONEXAO:SOLDAVEL;FABRICANTE/REFERENCIA:TIGRE/2 4371034";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1050756;505;35288376;11844;"TE RED PVC RIG PRED;90GR;25MMX3/4BSP";"TE REDUCAO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:25MMX3/4BSP;BUCHA LATAO:BUCHA LATAO;FABRICANTE/REFERENCIA:AMANCO/10423;AMANCO/11844;TIGRE/35288376";UN;;4,344;4,344;4,344;4,344;4,344;4,168;4,168
1100848;288;20151889;11759;"NIPLE PVC RIG PRED;AG FR;3/4BSP";"NIPLE PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;DIAMETRO/ROSCA:3/4BSP;DADOS  EXTRAS:COR:BRANCO;NORMA:NBR 5648;ROSCAVEL";UN;;0,845;0,845;0,845;0,845;0,845;0,845;0,845
1101027;671;37050504;90112;"ANEL P/TUBO;BORRACHA;50MM";"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:50MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";UN;;0,587;0,587;0,587;0,587;0,587;0,584;0,584
1101028;672;37050750;90113;"ANEL P/TUBO;BORRACHA;75MM";"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:75MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";UN;;0,806;0,806;0,806;0,806;0,806;0,792;0,792
1101032;673;37051004;90114;"ANEL P/TUBO;BORRACHA;100MM";"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:100MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688";UN;;0,93;0,93;0,93;0,93;0,93;0,917;0,917
1101033;674;37051101;90115;ANEL BORRACHA ESG 150MM (NORMAL);ANEL DE BORRACHA PARA PVC ESGOTO 150MM (SERIE NORMAL) NBR 7362/5688;UN;;4,135;4,135;4,135;4,135;4,135;3,802;3,802
1101045;928;27150195;10116;"CORPO CX SIF;PVC;BR;S/;100X100X50MM";"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:100X100X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;3 ENTRADAS;NORMA:NBR 7362/5688";UN;;10,171;10,171;10,171;10,171;10,171;6,915;6,915
1101046;930;27150217;11359;"CORPO CX SIF;PVC;BR;S/;100X150X50MM";"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:100X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";UN;;22,985;22,985;22,985;22,985;22,985;19,376;19,376
1101047;929;27150012;10118;"CORPO CX SIF;PVC;BR;S/;150X150X50MM";"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:150X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";UN;;25,02;25,02;25,02;25,02;25,02;16,202;16,202
1101052;918;27038450;20771;"CAIXA SIF MONT;PVC;BR;S/;150X170X75MM (150X185X75)";"CAIXA SIFONADA MONTADA;MATERIAL:PVC;COR:BRANCA;REFORCO:S/;DIMENSOES:150X170X75MM;GRELHA :C/GRELHA BRANCA QUADRADA;PORTA GRELHA:C/PORTA GRELHA BRANCA QUADRADA;NUMERO ENTRADAS LATERAIS:C/5 ENT LATERAIS 75MM;DADOS EXTRAS:GIRAFACIL;C/GRELHA;NORMAS:NBR 7362/5688";UN;;29,003;29,003;29,003;29,003;29,003;29,003;29,003
1101053;;28001002;11915;"CORPO;PVC;100X100X40MM;ESGOTO;CAIXA SECA";"CORPO;MATERIAL:PVC;DIMENSOES:100X100X40MM;SUBAPLICACAO:ESGOTO;APLICACAO: DA CAIXA SECA;DADOS EXTRAS:NORMAS:NBR 7362 /NBR 5688";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1101055;931;27289207;20499;"RALO PVC SIF;QUADR;BR;S/REFORC";"RALO PVC SIFONADO;FORMATO:QUADRADO;COR:BRANCO;REFORCO:S/ REFORCO;DIMENSOES:100X53X40MM;DADOS EXTRAS:NORMAS:NBR 7362/5688;C/GRELHA;USO:ESGOTO";UN;;8,264;8,264;8,264;8,264;8,264;7,536;7,536
1101056;;27279279;20516;"RALO PVC SIF;CIRC;BR;S/REFORC;QUADR";"RALO PVC SIFONADO;FORMATO:CIRCULAR;COR:BRANCO;REFORCO:S/ REFORCO;FORMATO  GRELHA:QUADRADA;DIMENSOES:100X84,50X40MM;SAIDA ARTICULADA:C/SAIDA ARTICULADA;DADOS EXTRAS:USO:ESGOTO;NORMAS:NBR 7362/5688";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1101059;324;54501900;99316;"FITA VED PTFE;18MM;25M";"FITA VEDACAO PTFE;LARGURA:18MM;COMPRIMENTO:25M;DADOS EXTRAS:NORMA:NBR 13124;VEDA ROSCA";UN;;3,127;3,127;3,127;3,127;3,127;3,069;3,069
1101060;325;54501951;99317;"FITA VED PTFE;18MM;50M";"FITA VEDACAO PTFE;LARGURA:18MM;COMPRIMENTO:50M;DADOS EXTRAS:NORMA:NBR 13124;VEDA ROSCA";UN;;5,398;5,398;5,398;5,398;5,398;5,306;5,306
1101073;938;27505040;11627;"GRELHA PVC RIG PRED;FIX;QUADR;150MM;BR";"GRELHA PVC RIGIDO PREDIAL;TIPO:FIXA;FORMATO:QUADRADA;DIMENSOES:150MM;COR:BRANCA;DADOS EXTRAS:P/ESGOTO;NORMA:NBR5688;FABRICANTE/REFERENCIA:AMANCO/11627";UN;;4,104;4,104;4,104;4,104;4,104;3,937;3,937
1101076;944;27611222;11773;"PORTA-GRELHA;PVC;BR;QUADR;100MM";"PORTA-GRELHA;MATERIAL:PVC;COR:BRANCO;FORMATO:QUADRADO;DIMENSOES:100MM;GR ELHA:P/GRELHA QUADRADA;DADOS EXTRAS:P/ESGOTO;NORMA:NBR 7362/5688;FABRICANTE/REFERENCIA:AMANCO/11773;TIGRE/27611222";UN;;2,744;2,744;2,744;2,744;2,744;2,744;2,744
1101078;950;27621007;11765;"PORTA-GRELHA;PVC;BR;CIRC;100MM";"PORTA-GRELHA;MATERIAL:PVC;COR:BRANCO;FORMATO:CIRCULAR;DIMENSOES:100MM;GR ELHA:P/GRELHA REDONDA;DADOS EXTRAS:USO:P/ESGOTO;NORMA: NBR 7362/5688.;FABRICANTE/REFERENCIA:AMANCO/11765;TIGRE/27621007";UN;;3,343;3,343;3,343;3,343;3,343;3,304;3,304
1101080;947;27591183;11769;"PORTA-GRELHA;PVC;BR;QUADR;150MM";"PORTA-GRELHA;MATERIAL:PVC;COR:BRANCO;FORMATO:QUADRADO;DIMENSOES:150MM;GR ELHA:P/GRELHA QUADRADA;DADOS EXTRAS:P/ESGOTO;NORMA:NBR 7362/5688;FABRICANTE/REFERENCIA:AMANCO/11769;TIGRE/27591183";UN;;5,419;5,419;5,419;5,419;5,419;5,205;5,205
1101101;;27258824;20502;"RALO PVC SIF;CONIC;BR;100X53X40MM";"RALO PVC SIFONADO;FORMATO:CONICO;COR:BRANCO;DIMENSOES:100X53X40MM;DADOS EXTRAS:NORMA:NBR 7362/5688;C/GRELHA;USO:ESGOTO;S/REFORCO";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1101102;908;27150250;;"CORPO CX SIF;PVC;BR;S/;100X140X50MM;GIR (100X150X50)";"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:100X140X50MM;NUMER O ENTRADAS LATERAIS:C/5 ENT LATERAIS 40MM;GIRATORIO:GIRATORIO;DADOS EXTRAS:CORPO CAIXA SIFONADA MODELO GIRAFACIL;USO:ESGOTO;NORMA:NBR 7362/5688;FABRICANTE/REFERENCIA:TIGRE/27150250";UN;;26,006;26,006;26,006;26,006;26,006;26,006;26,006
1101211;331;22000250;11508;"ADAPTADOR PVC RIG PRED;AG FR;25MMX3/4BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:25MMX3/4BSP;DADOS EXTRAS:NORMA:NBR 5648;COR:MARROM;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;0,449;0,449;0,449;0,449;0,449;0,475;0,475
1101212;333;22000403;11510;"ADAPTADOR PVC RIG PRED;40MMX1 1/4BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:40MMX1 1/4BSP;DADOS EXTRAS:NORMA:NBR 5648;COR:MARROM;CLASSE PRESSAO:7,5KGF/CM2;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;3,032;3,032;3,032;3,032;3,032;3,032;3,032
1101213;;22007939;98885;"ADAPTADOR PVC RIG PRED;40MMX1 1/2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:40MMX1 1/2BSP;DADOS EXTRAS:NORMA:NBR 5648;COR:MARROM;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1101217;338;22000756;11513;"ADAPTADOR PVC RIG PRED;75MMX2 1/2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:75MMX2 1/2BSP;DADOS EXTRAS:NORMA:ABNT NBR 5648;COR:MARROM;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;16,079;16,079;16,079;16,079;16,079;14,79;14,79
1101219;340;22001035;10029;"ADAPTADOR PVC RIG PRED;AG FR;110MMX4BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:110MMX4BSP;DADOS EXTRAS:NORMA:ABNT NBR 5648;COR:MARROM;CONEXAO:MACHO;CLASSE:20;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;39,484;39,484;39,484;39,484;39,484;39,484;39,484
1101223;346;;;"ADAPTADOR PVC RIG PRED;CX AGUA;60MMX2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:60MMX2BSP;FLANGE:FLANGE;DADOS EXTRAS:NORMA:NBR 5648";UN;;22,872;22,872;22,872;22,872;22,872;22,18;22,18
1101224;347;22028081;92723;"ADAPTADOR PVC RIG PRED;75MMX2 1/2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:75MMX2 1/2BSP;FLANGE:FLANGE;DADOS EXTRAS:NORMA:NBR 5648";UN;;26,973;26,973;26,973;26,973;26,973;25,833;25,833
1101234;348;22028138;92724;"ADAPTADOR PVC RIG PRED;CX AGUA;85MMX3BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:85MMX3BSP;FLANGE:FLANGE;DADOS EXTRAS:NORMA:NBR 5648";UN;;136,641;136,641;136,641;136,641;136,641;136,641;136,641
1101235;349;22028189;92725;"ADAPTADOR PVC RIG PRED;110MMX4BSP;FLANG";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:110MMX4BSP;FLANGE:FLANGE;DADOS EXTRAS:NORMA:NBR 5648";UN;;179,091;179,091;179,091;179,091;179,091;179,091;179,091
