pagina_catalogo;secao_catalogo;familia_catalogo;codigo_krona;bitola_original;embalagem;descricao_catalogo;comprimento_m;bitola_mm;bitola_pol;descricao_normalizada;categoria_detectada;eh_tubo;diametro_mm;comprimento_detectado_m
6;;BUCHA DE REDUCAO TUBO DE PVC CURVA DE LONGA SOLDAVEL;0367;32 x 20;15/1.125;BUCHA DE REDUCAO TUBO DE PVC CURVA DE LONGA SOLDAVEL - 32 x 20;;32.0;;BUCHA DE REDUCAO TUBO DE PVC CURVA DE LONGA SOLDAVEL - 32 X 20;TUBO;True;;
6;;JOELHO 45°;0385;40;10/600;JOELHO 45° - 40;;40.0;;JOELHO 45 - 40;JOELHO;False;;
7;;TE SOLDAVEL;0490;32 x 1”;20/500;TE SOLDAVEL - 32 x 1”;;32.0;1;TE SOLDAVEL - 32 X 1;TE;False;;
8;;REGISTRO DE ESFERA;0218;2” x 1.1/2”;8/320;REGISTRO DE ESFERA - 2” x 1.1/2”;;;2;REGISTRO DE ESFERA - 2 X 1.1 2;REGISTRO;False;;
8;;CON ROSCA EXTERNA Y CABEZA;0572;1”;5/100;CON ROSCA EXTERNA Y CABEZA - 1”;;;1;CON ROSCA EXTERNA Y CABEZA - 1;;False;;
8;;ADAPTADOR ROSCABLE Y ANILLO;0573;1.1/4”;5/75;ADAPTADOR ROSCABLE Y ANILLO - 1.1/4”;;;1.1/4;ADAPTADOR ROSCABLE Y ANILLO - 1.1 4;ADAPTADOR;False;;
8;;REGISTRO DE PRESSAO SOLDAVEL;0581;20;5/240;REGISTRO DE PRESSAO SOLDAVEL - 20;;20.0;;REGISTRO DE PRESSAO SOLDAVEL - 20;REGISTRO;False;;
9;;OBS.: P.T.F.E. (POLITETRAFL UORETILENO). SUPORTA TEMPERATURAS ENTRE 90 ºC E 230 ºC. NIPEL ROSCAVEL;0287;1/2”;50/1.900;OBS.: P.T.F.E. (POLITETRAFL UORETILENO). SUPORTA TEMPERATURAS ENTRE 90 ºC E 230 ºC. NIPEL ROSCAVEL - 1/2”;;;1/2;OBS. P.T.F.E. POLITETRAFL UORETILENO . SUPORTA TEMPERATURAS ENTRE 90 C E 230 C. NIPEL ROSCAVEL - 1 2;;False;;
9;;ROSCAVEL;0960;3/4”;6/300;ROSCAVEL - 3/4”;;;3/4;ROSCAVEL - 3 4;;False;;
11;;LUVA DE TRANSICAO TE DE REDUCAO CPVC BUCHA DE REDUCAO JOELHO 90° CPVC;1360;15 x 20 10/2000 1371 22 x 15;10/700;LUVA DE TRANSICAO TE DE REDUCAO CPVC BUCHA DE REDUCAO JOELHO 90° CPVC - 15 x 20 10/2000 1371 22 x 15;;15.0;10/2000;LUVA DE TRANSICAO TE DE REDUCAO CPVC BUCHA DE REDUCAO JOELHO 90 CPVC - 15 X 20 10 2000 1371 22 X 15;JOELHO;False;;
11;;LUVA DE TRANSICAO RF TE DE TRANSICAO CPVC CAP CPVC ULTRATERM JOELHO 90° DE;1362;15 x 1/2” 10/420 1374 15 x 1/2”;10/200;LUVA DE TRANSICAO RF TE DE TRANSICAO CPVC CAP CPVC ULTRATERM JOELHO 90° DE - 15 x 1/2” 10/420 1374 15 x 1/2”;;15.0;1/2;LUVA DE TRANSICAO RF TE DE TRANSICAO CPVC CAP CPVC ULTRATERM JOELHO 90 DE - 15 X 1 2 10 420 1374 15 X 1 2;JOELHO;False;;
11;;TE CPVC ULTRATERM TE MISTURADOR M/F/M;1366;15;10/1200;TE CPVC ULTRATERM TE MISTURADOR M/F/M - 15;;15.0;;TE CPVC ULTRATERM TE MISTURADOR M F M - 15;TE;False;;
12;;UNIAO F/F CPVC ADESIVOS /;1379;15;10/720;UNIAO F/F CPVC ADESIVOS / - 15;;15.0;;UNIAO F F CPVC ADESIVOS - 15;UNIAO;False;;
12;;CURVA 90° CPVC;1389;Frasco 175 g;12/120;CURVA 90° CPVC - Frasco 175 g;;;;CURVA 90 CPVC - FRASCO 175 G;JOELHO;False;;
13;;CURVA 90º F/F PPR JOELHO 90º F/F PPR;1549;20 10/200 1570 20;10/540;CURVA 90º F/F PPR JOELHO 90º F/F PPR - 20 10/200 1570 20;;;10/200;CURVA 90 F F PPR JOELHO 90 F F PPR - 20 10 200 1570 20;JOELHO;False;;
13;;CURVA DE;1577;90;1/9;CURVA DE - 90;;90.0;;CURVA DE - 90;JOELHO;False;;
13;;TUBO PN 25 PPR 3 M BUCHA DE REDUCAO TUBO PN 25 PPR/;1524;25 x 20;10/600;TUBO PN 25 PPR 3 M BUCHA DE REDUCAO TUBO PN 25 PPR/ - 25 x 20;3.0;25.0;;TUBO PN 25 PPR 3 M BUCHA DE REDUCAO TUBO PN 25 PPR - 25 X 20;TUBO;True;;3.0
13;;ADAPTADOR DE;1583;20;10/540;ADAPTADOR DE - 20;;20.0;;ADAPTADOR DE - 20;ADAPTADOR;False;;
14;;LUVA SIMPLES F/F PPR TE 90º F/M/F COM;1589;20 10/800 1818 20 x 1/2” x 20;5/120;LUVA SIMPLES F/F PPR TE 90º F/M/F COM - 20 10/800 1818 20 x 1/2” x 20;;;1/2;LUVA SIMPLES F F PPR TE 90 F M F COM - 20 10 800 1818 20 X 1 2 X 20;TE;False;;
14;;TESOURA PARA;1838;20 até 40;1/24;TESOURA PARA - 20 até 40;;;;TESOURA PARA - 20 ATE 40;;False;;
14;;TUBO PPR/FUSION;1598;20;10/80;TUBO PPR/FUSION - 20;;20.0;;TUBO PPR FUSION - 20;TUBO;True;;
14;;CORTA TUBOS PPR;1836;50 até 110;1;CORTA TUBOS PPR - 50 até 110;;;;CORTA TUBOS PPR - 50 ATE 110;;False;;
14;;TEE MISTURADOR CON;1771;25 x 3/4”;10/80;TEE MISTURADOR CON - 25 x 3/4”;;25.0;3/4;TEE MISTURADOR CON - 25 X 3 4;;False;;
17;ESGOTO;LOS TUBOS DE PVC DN 40 SON VENDIDOS CON PUNTA Y CAMPANA LISA.;0623;40 X 40*;25/375;LOS TUBOS DE PVC DN 40 SON VENDIDOS CON PUNTA Y CAMPANA LISA. - 40 X 40*;;40.0;;LOS TUBOS DE PVC DN 40 SON VENDIDOS CON PUNTA Y CAMPANA LISA. - 40 X 40;;False;40.0;
17;ESGOTO;CURVA 90º CURTA;0599;40*;25/300;CURVA 90º CURTA - 40*;;;;CURVA 90 CURTA - 40;JOELHO;False;;
17;ESGOTO;CURVA 45º CURTA;0729;100;20;CURVA 45º CURTA - 100;;100.0;;CURVA 45 CURTA - 100;JOELHO;False;;
17;ESGOTO;CURVA 45º CORTO DESA-;0617;50;25/175;CURVA 45º CORTO DESA- - 50;;50.0;;CURVA 45 CORTO DESA - - 50;JOELHO;False;;
18;ESGOTO;TEE DESAGUE SERIE NORMAL;0659;50;10/90;TEE DESAGUE SERIE NORMAL - 50;;50.0;;TEE DESAGUE SERIE NORMAL - 50;;False;;
18;ESGOTO;LUVA ESGOTO;0644;40*;25/500;LUVA ESGOTO - 40*;;;;LUVA ESGOTO - 40;LUVA;False;;
19;ESGOTO;BLANCA CON SIETE ENTRADAS;1488;300;1;BLANCA CON SIETE ENTRADAS - 300;;300.0;;BLANCA CON SIETE ENTRADAS - 300;;False;;
19;ESGOTO;TELA ANTI-INSETO CAIXA;1490;300;3;TELA ANTI-INSETO CAIXA - 300;;300.0;;TELA ANTI - INSETO CAIXA - 300;;False;;
21;ESGOTO;E ROBUSTEZ;0950;100;12/216;E ROBUSTEZ - 100;;100.0;;E ROBUSTEZ - 100;;False;;
21;ESGOTO;GERALMENTE SAO APLICADOS COM EFI CIENCIA NO CONFORMIDADE COM AS DETERMINACOES DAS ESCOAMENTO DO ESGOTO SANITARIO E AGUA PLUVIAL NORMAS BRASILEIRAS E INTERNACIONAIS.;0952;100;12;GERALMENTE SAO APLICADOS COM EFI CIENCIA NO CONFORMIDADE COM AS DETERMINACOES DAS ESCOAMENTO DO ESGOTO SANITARIO E AGUA PLUVIAL NORMAS BRASILEIRAS E INTERNACIONAIS. - 100;;100.0;;GERALMENTE SAO APLICADOS COM EFI CIENCIA NO CONFORMIDADE COM AS DETERMINACOES DAS ESCOAMENTO DO ESGOTO SANITARIO E AGUA PLUVIAL NORMAS BRASILEIRAS E INTERNACIONAIS. - 100;;False;;
22;ESGOTO SERIE REFORCADA;LOS TUBOS DE PVC DN 40 SON VENDIDOS CON PUNTA Y CAMPANA LISA.;1444;40 10 1426 100;5;LOS TUBOS DE PVC DN 40 SON VENDIDOS CON PUNTA Y CAMPANA LISA. - 40 10 1426 100;;;;LOS TUBOS DE PVC DN 40 SON VENDIDOS CON PUNTA Y CAMPANA LISA. - 40 10 1426 100;;False;40.0;
22;ESGOTO SERIE REFORCADA;JOELHO 90º VISITA;1467;75 x 75 10 1472 100 x 75;10;JOELHO 90º VISITA - 75 x 75 10 1472 100 x 75;;75.0;;JOELHO 90 VISITA - 75 X 75 10 1472 100 X 75;JOELHO;False;;
22;ESGOTO SERIE REFORCADA;JOELHO 90º ESGOTO REDUCAO EXCENTRICA;1450;75 x 50;10;JOELHO 90º ESGOTO REDUCAO EXCENTRICA - 75 x 50;;75.0;;JOELHO 90 ESGOTO REDUCAO EXCENTRICA - 75 X 50;JOELHO;False;;
23;;FAZ PARTE;0087;50 1/18 0080 50;1/30;FAZ PARTE - 50 1/18 0080 50;;;1/18;FAZ PARTE - 50 1 18 0080 50;;False;;
23;;CUSTOMIZADAS PARA CADA CLIENTE,;0086;50 1/20 0088 50;1/20;CUSTOMIZADAS PARA CADA CLIENTE, - 50 1/20 0088 50;;;1/20;CUSTOMIZADAS PARA CADA CLIENTE, - 50 1 20 0088 50;;False;;
25;;VALVULA PARA;0806;V1 1” (7/8”);20/400;VALVULA PARA - V1 1” (7/8”);;;1;VALVULA PARA - V1 1 7 8;VALVULA;False;;
25;;VALVULA PARA PIA COM JOELHO AZUL PARA;0793;38;20;VALVULA PARA PIA COM JOELHO AZUL PARA - 38;;38.0;;VALVULA PARA PIA COM JOELHO AZUL PARA - 38;JOELHO;False;;
25;;CURVA PARA CAIXA;0794;40;10;CURVA PARA CAIXA - 40;;40.0;;CURVA PARA CAIXA - 40;JOELHO;False;;
25;;CURVA DE BAJADA;0750;1/2” 10/60 0788 1/2” - 3/4”;12/360;CURVA DE BAJADA - 1/2” 10/60 0788 1/2” - 3/4”;;;1/2;CURVA DE BAJADA - 1 2 10 60 0788 1 2 - 3 4;JOELHO;False;;
26;;VALVULA PARA LAVABO CON ESCAPE TAPON PARA VALVULA;0859;7/8” - 1.1/4” - 1.1/2” x 1.500;6;VALVULA PARA LAVABO CON ESCAPE TAPON PARA VALVULA - 7/8” - 1.1/4” - 1.1/2” x 1.500;;;7/8;VALVULA PARA LAVABO CON ESCAPE TAPON PARA VALVULA - 7 8 - 1.1 4 - 1.1 2 X 1.500;VALVULA;False;;
26;;VALVULA DE PIA E;0817;U1 1” (7/8”) x 3/4”;20/1.600;VALVULA DE PIA E - U1 1” (7/8”) x 3/4”;;;1;VALVULA DE PIA E - U1 1 7 8 X 3 4;VALVULA;False;;
26;;PARA VALVULA DE PIA Y LAVABO;0812;V8 1” (7/8”);20/320;PARA VALVULA DE PIA Y LAVABO - V8 1” (7/8”);;;1;PARA VALVULA DE PIA Y LAVABO - V8 1 7 8;VALVULA;False;;
26;;VALVULA PARA LAVABO Y PIA CON ADAPTADOR;0737;1” (7/8”) x 40;50/750;VALVULA PARA LAVABO Y PIA CON ADAPTADOR - 1” (7/8”) x 40;;;1;VALVULA PARA LAVABO Y PIA CON ADAPTADOR - 1 7 8 X 40;ADAPTADOR;False;;
26;;ADAPTADOR Nº2;0770;Branco;10/300;ADAPTADOR Nº2 - Branco;;;;ADAPTADOR N 2 - BRANCO;ADAPTADOR;False;;
26;;PARA VALVULA DE;0738;1” (7/8”) x 40;50/800;PARA VALVULA DE - 1” (7/8”) x 40;;;1;PARA VALVULA DE - 1 7 8 X 40;VALVULA;False;;
28;;CURVA 90º CURTA PARA;1154;1.1/4” 5/40 Electroducto de PVC fl exible 1234 32;25;CURVA 90º CURTA PARA - 1.1/4” 5/40 Electroducto de PVC fl exible 1234 32;;;1.1/4;CURVA 90 CURTA PARA - 1.1 4 5 40 ELECTRODUCTO DE PVC FL EXIBLE 1234 32;JOELHO;False;;
28;;LUVA DE PRESSAO PARA;1245;20;50/1.500;LUVA DE PRESSAO PARA - 20;;20.0;;LUVA DE PRESSAO PARA - 20;LUVA;False;;
28;;ELETRODUTO ROSCAVEL;1162;3/4”;10/180;ELETRODUTO ROSCAVEL - 3/4”;;;3/4;ELETRODUTO ROSCAVEL - 3 4;;False;;
28;;SIEVACSORSEOXENOCEODIGIRCVPOTUDORTELE LUVA PARA;1181;1/2”;50/1.500;SIEVACSORSEOXENOCEODIGIRCVPOTUDORTELE LUVA PARA - 1/2”;;;1/2;SIEVACSORSEOXENOCEODIGIRCVPOTUDORTELE LUVA PARA - 1 2;LUVA;False;;
28;;ROSCAVEL;1265;4x2;24/240;ROSCAVEL - 4x2;;4.0;;ROSCAVEL - 4X2;;False;;
28;;FITA ISOLANTE COM FUNDO MOVEL PARA LUVA PARA ELETRODUTO;1255;4x4;12/120;FITA ISOLANTE COM FUNDO MOVEL PARA LUVA PARA ELETRODUTO - 4x4;;4.0;;FITA ISOLANTE COM FUNDO MOVEL PARA LUVA PARA ELETRODUTO - 4X4;LUVA;False;;
