codigo_krona;descricao_krona;descricao_normalizada;categoria_detectada;eh_tubo;diametro_mm;comprimento_detectado_m
23;TUBO PVC SOLDAVEL - 6M - 20MM;TUBO PVC SOLDAVEL - 6M - 20MM;TUBO;True;20.0;6.0
24;TUBO PVC SOLDAVEL - 6M - 25MM;TUBO PVC SOLDAVEL - 6M - 25MM;TUBO;True;25.0;6.0
25;TUBO PVC SOLDAVEL - 6M - 32MM;TUBO PVC SOLDAVEL - 6M - 32MM;TUBO;True;32.0;6.0
26;TUBO PVC SOLDAVEL - 6M - 40MM;TUBO PVC SOLDAVEL - 6M - 40MM;TUBO;True;40.0;6.0
27;TUBO PVC SOLDAVEL - 6M - 50MM;TUBO PVC SOLDAVEL - 6M - 50MM;TUBO;True;50.0;6.0
28;TUBO PVC SOLDAVEL - 6M - 60MM;TUBO PVC SOLDAVEL - 6M - 60MM;TUBO;True;60.0;6.0
29;TUBO PVC SOLDAVEL - 6M - 75MM;TUBO PVC SOLDAVEL - 6M - 75MM;TUBO;True;75.0;6.0
30;TUBO PVC SOLDAVEL - 6M - 85MM;TUBO PVC SOLDAVEL - 6M - 85MM;TUBO;True;85.0;6.0
31;TUBO PVC SOLDAVEL - 6M - 110MM;TUBO PVC SOLDAVEL - 6M - 110MM;TUBO;True;110.0;6.0
32;TUBO PVC SOLDAVEL - 3M - 20MM;TUBO PVC SOLDAVEL - 3M - 20MM;TUBO;True;20.0;3.0
33;TUBO PVC SOLDAVEL - 3M - 25MM;TUBO PVC SOLDAVEL - 3M - 25MM;TUBO;True;25.0;3.0
34;TUBO PVC SOLDAVEL - 3M - 32MM;TUBO PVC SOLDAVEL - 3M - 32MM;TUBO;True;32.0;3.0
35;TUBO PVC SOLDAVEL - 3M - 40MM;TUBO PVC SOLDAVEL - 3M - 40MM;TUBO;True;40.0;3.0
36;TUBO PVC SOLDAVEL - 3M - 50MM;TUBO PVC SOLDAVEL - 3M - 50MM;TUBO;True;50.0;3.0
37;TUBO PVC SOLDAVEL - 3M - 60MM;TUBO PVC SOLDAVEL - 3M - 60MM;TUBO;True;60.0;3.0
38;TUBO PVC SOLDAVEL - 3M - 75MM;TUBO PVC SOLDAVEL - 3M - 75MM;TUBO;True;75.0;3.0
50;TUBO ULTRATERM 3M - 15MM;TUBO ULTRATERM 3M - 15MM;TUBO;True;15.0;3.0
51;TUBO ULTRATERM 3M - 22MM;TUBO ULTRATERM 3M - 22MM;TUBO;True;22.0;3.0
52;TUBO ULTRATERM 3M - 28MM;TUBO ULTRATERM 3M - 28MM;TUBO;True;28.0;3.0
100;TUBO PVC ESGOTO SEC. - 6M - DN 40;TUBO PVC ESGOTO SECUNDARIO. - 6M - DN 40;TUBO;True;40.0;6.0
101;TUBO PVC ESGOTO PRIM. - 6M - DN 50;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 50;TUBO;True;50.0;6.0
102;TUBO PVC ESGOTO PRIM. - 6M - DN 75;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 75;TUBO;True;75.0;6.0
103;TUBO PVC ESGOTO PRIM. - 6M - DN 100;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 100;TUBO;True;100.0;6.0
104;TUBO PVC ESGOTO PRIM. - 6M - DN 150;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 150;TUBO;True;150.0;6.0
105;TUBO PVC ESGOTO PRIM. - 6M - DN 200;TUBO PVC ESGOTO PRIMARIO. - 6M - DN 200;TUBO;True;200.0;6.0
106;TUBO PVC LEVE - 6M - DN 250;TUBO PVC LEVE - 6M - DN 250;TUBO;True;250.0;6.0
110;TUBO PVC ESGOTO SEC. - 3M- DN 40;TUBO PVC ESGOTO SECUNDARIO. - 3M - DN 40;TUBO;True;40.0;3.0
111;TUBO PVC ESGOTO PRIM. - 3M- DN 50;TUBO PVC ESGOTO PRIMARIO. - 3M - DN 50;TUBO;True;50.0;3.0
112;TUBO PVC ESGOTO PRIM. - 3M- DN 75;TUBO PVC ESGOTO PRIMARIO. - 3M - DN 75;TUBO;True;75.0;3.0
113;TUBO PVC ESGOTO PRIM. - 3M- DN 100;TUBO PVC ESGOTO PRIMARIO. - 3M - DN 100;TUBO;True;100.0;3.0
114;TUBO PVC ESGOTO PRIM. - 3M- DN 150;TUBO PVC ESGOTO PRIMARIO. - 3M - DN 150;TUBO;True;150.0;3.0
115;TUBO PVC ESGOTO PRIM. - 3M - DN 200;TUBO PVC ESGOTO PRIMARIO. - 3M - DN 200;TUBO;True;200.0;3.0
116;TUBO PVC LEVE - 3M - DN 250;TUBO PVC LEVE - 3M - DN 250;TUBO;True;250.0;3.0
117;TUBO PVC ROSC 1/2;TUBO PVC ROSCAVEL 1 2;TUBO;True;;
118;TUBO PVC ROSC 3/4;TUBO PVC ROSCAVEL 3 4;TUBO;True;;
119;TUBO PVC ROSC  1;TUBO PVC ROSCAVEL 1;TUBO;True;;
120;TUBO PVC ROSC  1.1/4;TUBO PVC ROSCAVEL 1.1 4;TUBO;True;;
121;TUBO PVC ROSC  1.1/2;TUBO PVC ROSCAVEL 1.1 2;TUBO;True;;
122;TUBO PVC ROSC 2;TUBO PVC ROSCAVEL 2;TUBO;True;;
135;TUBO PVC ESG SR 6M DN40X6M;TUBO PVC ESGOTO SERIE REFORCADA 6M DN40X6M;TUBO;True;;6.0
136;TUBO PVC ESG SR 6M DN50X6M;TUBO PVC ESGOTO SERIE REFORCADA 6M DN50X6M;TUBO;True;;6.0
137;TUBO PVC ESG SR 6M DN75X6M;TUBO PVC ESGOTO SERIE REFORCADA 6M DN75X6M;TUBO;True;;6.0
138;TUBO PVC ESG SR 6M DN100X6M;TUBO PVC ESGOTO SERIE REFORCADA 6M DN100X6M;TUBO;True;;6.0
139;TUBO PVC ESG SR 6M DN150X6M;TUBO PVC ESGOTO SERIE REFORCADA 6M DN150X6M;TUBO;True;;6.0
