codigo_krona;descricao;preco_alvo_cliente;preco_sistema;desconto_calculado;preco_final_estimado;status_desconto
929;CORPO CAIXA SIFONADA NR.31 150 X 150 X 50;25.02;;;;PENDENTE_LEITURA_PRECO_SISTEMA
331;ADAPTADOR SOLD CURTO 25MM X 3/4;0.45;;;;PENDENTE_LEITURA_PRECO_SISTEMA
360;BUCHA RED.SOLD.CURTA 25 X 20MM;0.31;;;;PENDENTE_LEITURA_PRECO_SISTEMA
424;JOELHO 90 SOLD - 20MM;0.32;;;;PENDENTE_LEITURA_PRECO_SISTEMA
425;JOELHO 90 SOLD - 25MM;0.45;;;;PENDENTE_LEITURA_PRECO_SISTEMA
436;LUVA SOLD - 25MM;0.42;;;;PENDENTE_LEITURA_PRECO_SISTEMA
455;TE SOLD - 25MM;0.67;;;;PENDENTE_LEITURA_PRECO_SISTEMA
23;TUBO PVC SOLDAVEL - 6M - 20MM;10.11;;;;PENDENTE_LEITURA_PRECO_SISTEMA
24;TUBO PVC SOLDAVEL - 6M - 25MM;12.12;;;;PENDENTE_LEITURA_PRECO_SISTEMA
599;CURVA 90 CURTA P/ESG.SEC - DN 40;2.37;;;;PENDENTE_LEITURA_PRECO_SISTEMA
611;JOELHO 45 ESGOTO SEC - DN 40;1.06;;;;PENDENTE_LEITURA_PRECO_SISTEMA
612;JOELHO 45 ESGOTO PRIM - DN 50;1.6;;;;PENDENTE_LEITURA_PRECO_SISTEMA
501;LUVA SOLD C/BUCHA LATAO 20MM X 1/2;2.85;;;;PENDENTE_LEITURA_PRECO_SISTEMA
519;ADESIVO FRASCO 850 G;34.07;;;;PENDENTE_LEITURA_PRECO_SISTEMA
521;SOLUCAO PREPARADORA 1000 ML;33.05;;;;PENDENTE_LEITURA_PRECO_SISTEMA
592;BUCHA RED.LONGA P/ESGOTO DN 50 X 40;1.26;;;;PENDENTE_LEITURA_PRECO_SISTEMA
614;JOELHO 45 ESGOTO PRIM - DN 100;3.86;;;;PENDENTE_LEITURA_PRECO_SISTEMA
617;JOELHO 90 ESGOTO PRIM - DN 50;1.51;;;;PENDENTE_LEITURA_PRECO_SISTEMA
619;JOELHO 90 ESGOTO PRIM - DN 100;3.93;;;;PENDENTE_LEITURA_PRECO_SISTEMA
629;JUNCAO 45 SIMPLES P/ESGOTO PRIM - DN 100X100;13.73;;;;PENDENTE_LEITURA_PRECO_SISTEMA
638;JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 75X50;9.8;;;;PENDENTE_LEITURA_PRECO_SISTEMA
639;JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 100X50;9.55;;;;PENDENTE_LEITURA_PRECO_SISTEMA
644;LUVA ESGOTO SEC. - DN 40;0.84;;;;PENDENTE_LEITURA_PRECO_SISTEMA
645;LUVA ESGOTO PRIM. - DN 50;1.02;;;;PENDENTE_LEITURA_PRECO_SISTEMA
647;LUVA ESGOTO PRIM. - DN 100;1.89;;;;PENDENTE_LEITURA_PRECO_SISTEMA
659;TE ESGOTO PRIM. - DN 50X50;3.86;;;;PENDENTE_LEITURA_PRECO_SISTEMA
101;TUBO PVC ESGOTO PRIM. - 6M - DN 50;23.7;;;;PENDENTE_LEITURA_PRECO_SISTEMA
102;TUBO PVC ESGOTO PRIM. - 6M - DN 75;37.49;;;;PENDENTE_LEITURA_PRECO_SISTEMA
103;TUBO PVC ESGOTO PRIM. - 6M - DN 100;52.49;;;;PENDENTE_LEITURA_PRECO_SISTEMA
623;JOELHO 90 BRANCO C/ANEL - DN 40 X 40;2.71;;;;PENDENTE_LEITURA_PRECO_SISTEMA
138;TUBO PVC ESG SR 6M DN100X6M;77.5;;;;PENDENTE_LEITURA_PRECO_SISTEMA
100;TUBO PVC ESGOTO SEC. - 6M - DN 40;21.49;;;;PENDENTE_LEITURA_PRECO_SISTEMA
677;PASTA LUBRIFICANTE 1 KG;20.77;;;;PENDENTE_LEITURA_PRECO_SISTEMA
