item_oc;descricao_oc;descricao_normalizada;categoria_detectada;eh_tubo;diametro_mm;comprimento_detectado_m;unidade_oc;quantidade_oc;preco_unit_oc;total_oc;observacao_validacao
1;Pasta Lubrificante PASTA LUBRIFICANTE 1/2 LT;Pasta Lubrificante PASTA LUBRIFICANTE 1/2 LT;TE;False;;;un;18.0;20.597;370.75;
2;Fita Veda Rosca FITA VEDA ROSCA DE25X50 MT;Fita Veda Rosca FITA VEDA ROSCA DE25X50 MT;FITA_VEDA_ROSCA;False;;50.0;rl;300.0;5.389;1616.7;
3;Luva de Correr PVC Esgoto 50 MM;Luva de Correr PVC Esgoto 50 MM;LUVA;False;50.0;;un;5.0;5.873;29.37;
4;Luva de Correr PVC Esgoto 75 MM;Luva de Correr PVC Esgoto 75 MM;LUVA;False;75.0;;un;5.0;7.168;35.84;
5;Te PVC Esgoto 40x40 MM;Te PVC Esgoto 40x40 MM;TE;False;40.0;;un;220.0;1.588;349.36;
6;Te PVC Esgoto 75x50 MM;Te PVC Esgoto 75x50 MM;TE;False;50.0;;un;220.0;8.106;1783.32;
7;Anel de Borracha 50 MM;Anel de Borracha 50 MM;ANEL;False;50.0;;un;772.0;0.593;457.8;
8;Anel de Borracha 75 MM;Anel de Borracha 75 MM;ANEL;False;75.0;;un;70.0;0.804;56.28;
9;Anel de Borracha 100 MM;Anel de Borracha 100 MM;ANEL;False;100.0;;un;650.0;0.933;606.45;
10;Tubo PVC Esgoto Serie Reforçada 75 MM;Tubo PVC Esgoto Serie Reforçada 75 MM;TUBO;True;75.0;;m;612.0;15.5455;9513.85;
11;Caixa Sifonada 100x150x50 MM;Caixa Sifonada 100x150x50 MM;CAIXA_SIFONADA;False;50.0;;un;54.0;26.396;1425.38;
12;Plug PVC Roscavel 1/2`;Plug PVC Roscavel 1/2`;OUTROS;False;;;un;1800.0;0.402;723.6;
13;Adaptador Curto c/ Bolsa e Rosca p/ Registro 32 MMx1`;Adaptador Curto c/ Bolsa e Rosca p/ Registro 32 MMx1`;ADAPTADOR;False;32.0;;un;44.0;0.996;43.82;
14;Adaptador Curto c/ Bolsa e Rosca p/ Registro 50 MM;Adaptador Curto c/ Bolsa e Rosca p/ Registro 50 MM;ADAPTADOR;False;50.0;;un;46.0;2.39;109.94;
15;Adaptador Flange 32x1;Adaptador Flange 32x1;ADAPTADOR;False;;;un;60.0;9.26;555.6;
16;Adaptador Flange 25x3/4;Adaptador Flange 25x3/4;ADAPTADOR;False;;;un;40.0;4.293;171.72;
17;Tubo PVC Soldavel 20 MM;Tubo PVC Soldavel 20 MM;TUBO;True;20.0;;m;5142.0;1.88383;9686.65;
18;Tubo PVC Soldavel 25 MM;Tubo PVC Soldavel 25 MM;TUBO;True;25.0;;m;414.0;2.2715;940.4;
19;Tubo PVC Soldavel 32 MM;Tubo PVC Soldavel 32 MM;TUBO;True;32.0;;m;2280.0;5.13;11696.4;
20;Joelho PVC Soldavel 90° 20 MM;Joelho PVC Soldavel 90° 20 MM;JOELHO;False;20.0;;un;1204.0;0.313;376.85;
21;Joelho PVC Soldavel 90° 25 MM;Joelho PVC Soldavel 90° 25 MM;JOELHO;False;25.0;;un;260.0;0.389;101.14;
22;Joelho PVC Soldavel 90° 32 MM;Joelho PVC Soldavel 90° 32 MM;JOELHO;False;32.0;;un;220.0;1.262;277.64;
23;Joelho PVC Soldavel 90° 50 MM;Joelho PVC Soldavel 90° 50 MM;JOELHO;False;50.0;;un;104.0;2.215;230.36;
24;Joelho PVC Soldavel 90° 75 MM;Joelho PVC Soldavel 90° 75 MM;JOELHO;False;75.0;;un;404.0;52.817;21338.07;
25;Joelho PVC Soldavel 45° 20 MM;Joelho PVC Soldavel 45° 20 MM;JOELHO;False;20.0;;un;296.0;0.699;206.9;
26;Joelho PVC Soldavel 45° 32 MM;Joelho PVC Soldavel 45° 32 MM;JOELHO;False;32.0;;un;40.0;2.786;111.44;
27;Te PVC Soldavel 20 MM;Te PVC Soldavel 20 MM;TE;False;20.0;;un;216.0;0.535;115.56;
28;Te PVC Soldavel 25 MM;Te PVC Soldavel 25 MM;TE;False;25.0;;un;20.0;0.627;12.54;
29;Te PVC Soldavel 32 MM;Te PVC Soldavel 32 MM;TE;False;32.0;;un;60.0;2.392;143.52;
30;Te PVC Soldavel 50 MM;Te PVC Soldavel 50 MM;TE;False;50.0;;un;1.0;4.388;4.39;
31;Te PVC Soldavel 75 MM;Te PVC Soldavel 75 MM;TE;False;75.0;;un;40.0;45.387;1815.48;
