DESCRICAO;CODIGO;QUANTIDADE
ANEL DE VEDACAO P/ESG. DN 50;671;1300.0
ANEL DE VEDACAO P/ESG. DN 75;672;1300.0
ANEL DE VEDACAO P/ESG. DN 100;673;1300.0
FITA VEDAROSCA 18MM X 50M;325;74.0
TUBO PVC SOLDAVEL - 6M - 60MM;28;16.0
TUBO PVC SOLDAVEL - 6M - 85MM;30;5.0
REDUCAO EXCENTRICA ESGOTO PRIM - DN 75X50;654;104.0
JOELHO 45 ESGOTO PRIM - DN 50;612;208.0
JOELHO 90 ESGOTO PRIM - DN 50;617;208.0
JOELHO 90 ESGOTO PRIM - DN 100;619;104.0
JOELHO 90° ESGOTO SERIE REFORCADA DN100;1422;104.0
LUVA ESGOTO PRIM. - DN 50;645;302.0
LUVA ESGOTO PRIM. - DN 75;646;52.0
LUVA ESGOTO PRIM. - DN 100;647;104.0
TE ESGOTO PRIM. - DN 75X75;660;76.0
TUBO PVC ESGOTO PRIM. - 6M - DN 50;101;270.0
TUBO PVC ESGOTO PRIM. - 6M - DN 75;102;5.0
TUBO PVC ESGOTO PRIM. - 6M - DN 100;103;108.0
TERMINAL VENTILAÇÃO ESGOTO DN100;1167;52.0
TUBO PVC ESG SR 6M DN100X6M;138;127.0
TE ESGOTO SERIE REFORCADA DN100;1459;76.0
LUVA SIMPLES ESGOTO SERIE REFORCADA DN100;1441;268.0
ADESIVO FRASCO 850 G;519;2.0
PASTA LUBRIFICANTE 1 KG;677;10.0
SOLUCAO PREPARADORA 1000 ML;521;23.0
