idx_item;codigo_interno_oc;descricao_original;descricao_reconstruida;quantidade;unidade_original;unidade_normalizada;valor_unitario;valor_total;pagina;linhas_origem;score_extracao;status_extracao;observacoes;descricao_oc;quantidade_oc;unidade_oc;codigo_oc;match_encontrado;codigo_krona;descricao_krona;descricao_krona_normalizada;linha_krona_match;familia_krona_match;unidade_venda_krona;quantidade_embalagem_krona;score_estrutura;score_textual;score_total;tipo_match;revisao_manual;motivo_match;categoria_krona;eh_tubo_krona;diametro_krona_mm;comprimento_krona_m;quantidade_original_oc;unidade_original_oc;quantidade_ajustada;fator_conversao_quantidade;tipo_quantidade;unidade_venda_considerada;quantidade_convertida;conversao_aplicada;observacao_conversao;revisao_unidade;quantidade_final
10;1101027;"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:50MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:50MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";1300.0;UN;UN;0.58;754.0;1;[15, 16, 17, 18, 19, 20];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:50MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";1300.0;UN;1101027;True;671;ANEL DE VEDACAO P/ESG. DN 50;ANEL DE VEDACAO P ESGOTO. DN 50;ANEIS VEDACAO P/ESGOTO;ESGOTO;PC;50.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;50.0;0.063;1300.0;UN;1300.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;1300.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;1300.0
20;1101028;"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:75MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:75MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";1300.0;UN;UN;0.79;1027.0;1;[21, 22, 23, 24, 25, 26];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:75MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688/5647";1300.0;UN;1101028;True;672;ANEL DE VEDACAO P/ESG. DN 75;ANEL DE VEDACAO P ESGOTO. DN 75;ANEIS VEDACAO P/ESGOTO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;75.0;0.089;1300.0;UN;1300.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;1300.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;1300.0
30;1101032;"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:100MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688";"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:100MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688";1300.0;UN;UN;0.92;1196.0;1;[27, 28, 29, 30];0.8;ok_com_ressalvas;['formato_mrv', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"ANEL P/TUBO;MATERIAL:BORRACHA;DIAMETRO TUBO:100MM;DADOS EXTRAS:USO:PVC ESGOTO;SERIE NORMAL;NORMA:NBR 7362/5688";1300.0;UN;1101032;True;673;ANEL DE VEDACAO P/ESG. DN 100;ANEL DE VEDACAO P ESGOTO. DN 100;ANEIS VEDACAO P/ESGOTO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;100.0;0.116;1300.0;UN;1300.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;1300.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;1300.0
40;1101060;"FITA VEDACAO PTFE;LARGURA:18MM;COMPRIMENTO:50M;DADOS EXTRAS:NORMA:NBR 13124;VEDA ROSCA";"FITA VEDACAO PTFE;LARGURA:18MM;COMPRIMENTO:50M;DADOS EXTRAS:NORMA:NBR 13124;VEDA ROSCA";74.0;UN;UN;5.31;392.94;2;[17, 18, 19, 20, 21, 22];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"FITA VEDACAO PTFE;LARGURA:18MM;COMPRIMENTO:50M;DADOS EXTRAS:NORMA:NBR 13124;VEDA ROSCA";74.0;UN;1101060;True;325;FITA VEDAROSCA 18MM X 50M;FITA VEDAROSCA 18MM X 50M;FITA VEDA ROSCA;AF;RL;30.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;18.0;0.018;74.0;UN;74.0;;ORIGINAL_NAO_TUBO_UNIDADE;RL;74.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;74.0
50;1101387;"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 5648";"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 5648";16.0;UN;UN;68.52;1096.32;2;[23, 24, 25, 26, 27, 28];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 5648";16.0;UN;1101387;True;28;TUBO PVC SOLDAVEL - 6M - 60MM;TUBO PVC SOLDAVEL - 6M - 60MM;TUBOS PVC SOLDAVEL;AF;BR;3.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;60.0;6.0;16.0;UN;16.0;1.0;BARRA_DIRETA_OC_UN;BR;16.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;16.0
60;1101389;"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:85MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 5648";"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:85MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 5648";5.0;UN;UN;132.77;663.85;2;[29, 30, 31];0.8;ok_com_ressalvas;['formato_mrv', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:85MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 5648";5.0;UN;1101389;True;30;TUBO PVC SOLDAVEL - 6M - 85MM;TUBO PVC SOLDAVEL - 6M - 85MM;TUBOS PVC SOLDAVEL;AF;BR;1.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;85.0;6.0;5.0;UN;5.0;1.0;BARRA_DIRETA_OC_UN;BR;5.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;5.0
70;1101514;"LUVA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA BOLSA;DIAMETRO/ROSCA:75X50MM;FLANGE:S/ FLANGE;DADOS EXTRAS:TIPO:EXCENTRICA;(SERIE NORMAL);NORMAS: NBR 7362/5688";"LUVA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA BOLSA;DIAMETRO/ROSCA:75X50MM;FLANGE:S/ FLANGE;DADOS EXTRAS:TIPO:EXCENTRICA;(SERIE NORMAL);NORMAS: NBR 7362/5688";104.0;UN;UN;4.44;461.76;3;[18, 19, 20, 21, 22, 23, 24];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"LUVA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA BOLSA;DIAMETRO/ROSCA:75X50MM;FLANGE:S/ FLANGE;DADOS EXTRAS:TIPO:EXCENTRICA;(SERIE NORMAL);NORMAS: NBR 7362/5688";104.0;UN;1101514;True;654;REDUCAO EXCENTRICA ESGOTO PRIM - DN 75X50;REDUCAO EXCENTRICA ESGOTO PRIMARIO - DN 75X50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;10.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;REDUCAO;False;;0.0755;104.0;UN;104.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;104.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;104.0
80;1101546;"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";208.0;UN;UN;1.42;295.36;3;[25, 26, 27, 28, 29, 30, 31];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";208.0;UN;1101546;True;612;JOELHO 45 ESGOTO PRIM - DN 50;JOELHO 45 ESGOTO PRIMARIO - DN 50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;50.0;0.0545;208.0;UN;208.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;208.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;208.0
90;1101556;"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";208.0;UN;UN;1.61;334.88;4;[15, 16, 17, 18, 19, 20, 21];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMAS:NBR 7362/5688";208.0;UN;1101556;True;617;JOELHO 90 ESGOTO PRIM - DN 50;JOELHO 90 ESGOTO PRIMARIO - DN 50;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;50.0;0.1015;208.0;UN;208.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;208.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;208.0
100;1101558;"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";104.0;UN;UN;3.5;364.0;4;[22, 23, 24, 25, 26, 27, 28];0.92;ok;['formato_mrv', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100MM;SERIE:SERIE NORMAL;DADOS EXTRAS:NORMA:NBR 7362/5688";104.0;UN;1101558;True;619;JOELHO 90 ESGOTO PRIM - DN 100;JOELHO 90 ESGOTO PRIMARIO - DN 100;CONEXOES ESGOTO PRIMARIO;ESGOTO;PC;20.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;100.0;0.1653;104.0;UN;104.0;;ORIGINAL_NAO_TUBO_UNIDADE;PC;104.0;ORIGINAL_NAO_TUBO_UNIDADE;ORIGINAL_NAO_TUBO_UNIDADE;False;104.0
