DESCRICAO;CODIGO;QUANTIDADE;DESCONTO
CORPO CAIXA SIFONADA NR.31 150 X 150 X 50;929;100.0;
ADAPTADOR SOLD CURTO 25MM X 3/4;331;1200.0;
BUCHA RED.SOLD.CURTA 25 X 20MM;360;396.0;
JOELHO 90 SOLD - 20MM;424;792.0;
JOELHO 90 SOLD - 25MM;425;1238.0;
LUVA SOLD - 25MM;436;792.0;
TE SOLD - 25MM;455;1200.0;
TUBO PVC SOLDAVEL - 6M - 20MM;23;100.0;
TUBO PVC SOLDAVEL - 6M - 25MM;24;200.0;
CURVA 90 CURTA P/ESG.SEC - DN 40;599;200.0;
JOELHO 45 ESGOTO SEC - DN 40;611;300.0;
JOELHO 45 ESGOTO PRIM - DN 50;612;960.0;
LUVA SOLD C/BUCHA LATAO 20MM X 1/2;501;500.0;
ADESIVO FRASCO 850 G;519;25.0;
SOLUCAO PREPARADORA 1000 ML;521;25.0;
BUCHA RED.LONGA P/ESGOTO DN 50 X 40;592;160.0;
JOELHO 45 ESGOTO PRIM - DN 100;614;320.0;
JOELHO 90 ESGOTO PRIM - DN 50;617;320.0;
JOELHO 90 ESGOTO PRIM - DN 100;619;160.0;
JUNCAO 45 SIMPLES P/ESGOTO PRIM - DN 100X100;629;160.0;
JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 75X50;638;160.0;
JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 100X50;639;160.0;
LUVA ESGOTO SEC. - DN 40;644;160.0;
LUVA ESGOTO PRIM. - DN 50;645;800.0;
LUVA ESGOTO PRIM. - DN 100;647;320.0;
TE ESGOTO PRIM. - DN 50X50;659;160.0;
TUBO PVC ESGOTO PRIM. - 6M - DN 50;101;100.0;
TUBO PVC ESGOTO PRIM. - 6M - DN 75;102;70.0;
TUBO PVC ESGOTO PRIM. - 6M - DN 100;103;170.0;
JOELHO 90 BRANCO C/ANEL - DN 40 X 40;623;310.0;
TUBO PVC ESG SR 6M DN100X6M;138;40.0;
TUBO PVC ESGOTO SEC. - 6M - DN 40;100;100.0;
PASTA LUBRIFICANTE 1 KG;677;30.0;
