DESCRICAO;UM;CODIGO_KRONA;QUANTIDADE
CORPO CAIXA SIFONADA NR.31 150 X 150 X 50;PC;929;100.0
ADAPTADOR SOLD CURTO 25MM X 3/4;PC;331;1200.0
BUCHA RED.SOLD.CURTA 25 X 20MM;PC;360;396.0
JOELHO 90 SOLD - 20MM;PC;424;792.0
JOELHO 90 SOLD - 25MM;PC;425;1238.0
LUVA SOLD - 25MM;PC;436;792.0
TE SOLD - 25MM;PC;455;1200.0
TUBO PVC SOLDAVEL - 6M - 20MM;BR;23;100.0
TUBO PVC SOLDAVEL - 6M - 25MM;BR;24;200.0
CURVA 90 CURTA P/ESG.SEC - DN 40;PC;599;200.0
JOELHO 45 ESGOTO SEC - DN 40;PC;611;300.0
JOELHO 45 ESGOTO PRIM - DN 50;PC;612;960.0
LUVA SOLD C/BUCHA LATAO 20MM X 1/2;PC;501;500.0
ADESIVO FRASCO 850 G;PC;519;25.0
SOLUCAO PREPARADORA 1000 ML;PC;521;25.0
BUCHA RED.LONGA P/ESGOTO DN 50 X 40;PC;592;160.0
JOELHO 45 ESGOTO PRIM - DN 100;PC;614;320.0
JOELHO 90 ESGOTO PRIM - DN 50;PC;617;320.0
JOELHO 90 ESGOTO PRIM - DN 100;PC;619;160.0
JUNCAO 45 SIMPLES P/ESGOTO PRIM - DN 100X100;PC;629;160.0
JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 75X50;PC;638;160.0
JUNCAO RED.45 SIMPLES P/ESG.PRIM - DN 100X50;PC;639;160.0
LUVA ESGOTO SEC. - DN 40;PC;644;160.0
LUVA ESGOTO PRIM. - DN 50;PC;645;800.0
LUVA ESGOTO PRIM. - DN 100;PC;647;320.0
TE ESGOTO PRIM. - DN 50X50;PC;659;160.0
TUBO PVC ESGOTO PRIM. - 6M - DN 50;BR;101;100.0
TUBO PVC ESGOTO PRIM. - 6M - DN 75;BR;102;70.0
TUBO PVC ESGOTO PRIM. - 6M - DN 100;BR;103;170.0
JOELHO 90 BRANCO C/ANEL - DN 40 X 40;PC;623;310.0
TUBO PVC ESG SR 6M DN100X6M;BR;138;40.0
TUBO PVC ESGOTO SEC. - 6M - DN 40;BR;100;100.0
PASTA LUBRIFICANTE 1 KG;PC;677;30.0
