idx_item;codigo_interno_oc;descricao_original;descricao_reconstruida;quantidade;unidade_original;unidade_normalizada;valor_unitario;valor_total;pagina;linhas_origem;score_extracao;status_extracao;observacoes;descricao_oc;quantidade_oc;unidade_oc;codigo_oc;match_encontrado;codigo_krona;descricao_krona;descricao_krona_normalizada;linha_krona_match;familia_krona_match;unidade_venda_krona;quantidade_embalagem_krona;score_estrutura;score_textual;score_total;tipo_match;revisao_manual;motivo_match;categoria_krona;eh_tubo_krona;diametro_krona_mm;comprimento_krona_m;quantidade_original_oc;unidade_original_oc;quantidade_ajustada;tipo_quantidade;fator_conversao_quantidade;unidade_venda_considerada;quantidade_convertida;conversao_aplicada;observacao_conversao;revisao_unidade;quantidade_final
10;1101047;"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:150X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:150X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";100.0;UN;UN;25.02;2502.0;1;[15, 16, 17, 18, 19, 20, 21, 22];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"CORPO CAIXA SIFONADA;MATERIAL:PVC;COR:BRANCO;REFORCO:S/;DIMENSOES:150X150X50MM;NUMER O ENTRADAS LATERAIS:C/3 ENT LATERAIS 50MM;DADOS EXTRAS:USO:ESGOTO;NORMA:NBR 7362/5688";100.0;UN;1101047;True;929;CORPO CAIXA SIFONADA NR.31 150 X 150 X 50;CORPO CAIXA SIFONADA NR.31 150 X 150 X 50;CAIXAS E RALOS;ESGOTO;PC;6.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;;False;;0.2135;100.0;UN;100.0;ORIGINAL_NAO_TUBO;;PC;100.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;100.0
20;1101211;"ADAPTADOR;USO:AGUA FRIA;MATERIAL:PVC RIG;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO:25X3/4;CARACTERISTICAS:CURTO C/BOLSA P/REGISTRO;DADOS EXTRAS:NBR 5648";"ADAPTADOR;USO:AGUA FRIA;MATERIAL:PVC RIG;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO:25X3/4;CARACTERISTICAS:CURTO C/BOLSA P/REGISTRO;DADOS EXTRAS:NBR 5648";1200.0;UN;UN;0.45;540.0;1;[23, 24, 25, 26, 27, 28, 29, 30];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"ADAPTADOR;USO:AGUA FRIA;MATERIAL:PVC RIG;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO:25X3/4;CARACTERISTICAS:CURTO C/BOLSA P/REGISTRO;DADOS EXTRAS:NBR 5648";1200.0;UN;1101211;True;331;ADAPTADOR SOLD CURTO 25MM X 3/4;ADAPTADOR SOLDAVEL CURTO 25MM X 3 4;CONEXOES SOLDAVEIS;AF;PC;50.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;ADAPTADOR;False;25.0;0.0338;1200.0;UN;1200.0;ORIGINAL_NAO_TUBO;;PC;1200.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;1200.0
30;1101244;"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25X20MM;CONSTRUCAO:CURTA;DADOS EXTRAS:COR:";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25X20MM;CONSTRUCAO:CURTA;DADOS EXTRAS:COR:";396.0;UN;UN;0.31;122.76;1;[31, 32];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25X20MM;CONSTRUCAO:CURTA;DADOS EXTRAS:COR:";396.0;UN;1101244;True;360;BUCHA RED.SOLD.CURTA 25 X 20MM;BUCHA RED.SOLDAVEL.CURTA 25 X 20MM;CONEXOES SOLDAVEIS;AF;PC;50.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;BUCHA;False;20.0;0.025;396.0;UN;396.0;ORIGINAL_NAO_TUBO;;PC;396.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;396.0
40;1101302;"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;DADOS EXTRAS:EQUIVALENCIA MERCADO: 1/2POL;COR: MARROM;CONFORME NORMA: NBR 5648;CLASSE PRESSAO: 7,50KGF/CM2;NORMA:NBR 5648";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;DADOS EXTRAS:EQUIVALENCIA MERCADO: 1/2POL;COR: MARROM;CONFORME NORMA: NBR 5648;CLASSE PRESSAO: 7,50KGF/CM2;NORMA:NBR 5648";792.0;UN;UN;0.32;253.44;2;[21, 22, 23, 24, 25, 26, 27, 28];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;DADOS EXTRAS:EQUIVALENCIA MERCADO: 1/2POL;COR: MARROM;CONFORME NORMA: NBR 5648;CLASSE PRESSAO: 7,50KGF/CM2;NORMA:NBR 5648";792.0;UN;1101302;True;424;JOELHO 90 SOLD - 20MM;JOELHO 90 SOLDAVEL - 20MM;CONEXOES SOLDAVEIS;AF;PC;50.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;20.0;0.0414;792.0;UN;792.0;ORIGINAL_NAO_TUBO;;PC;792.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;792.0
50;1101303;"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:COR:MARROM;RAIO:CURTO;DIMENSAO CONFORME NORMA:ABNT NBR 5648;CLASSE PRESSAO:7,50KGF/CM2;NORMA:NBR 5648";"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:COR:MARROM;RAIO:CURTO;DIMENSAO CONFORME NORMA:ABNT NBR 5648;CLASSE PRESSAO:7,50KGF/CM2;NORMA:NBR 5648";1238.0;UN;UN;0.45;557.1;2;[29, 30, 31, 32, 33];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"JOELHO PVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:COR:MARROM;RAIO:CURTO;DIMENSAO CONFORME NORMA:ABNT NBR 5648;CLASSE PRESSAO:7,50KGF/CM2;NORMA:NBR 5648";1238.0;UN;1101303;True;425;JOELHO 90 SOLD - 25MM;JOELHO 90 SOLDAVEL - 25MM;CONEXOES SOLDAVEIS;AF;PC;50.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;25.0;0.0489;1238.0;UN;1238.0;ORIGINAL_NAO_TUBO;;PC;1238.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;1238.0
60;1101330;"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648;NORMA:NBR 5648";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648;NORMA:NBR 5648";792.0;UN;UN;0.42;332.64;3;[18, 19, 20, 21, 22, 23, 24, 25];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648;NORMA:NBR 5648";792.0;UN;1101330;True;436;LUVA SOLD - 25MM;LUVA SOLDAVEL - 25MM;CONEXOES SOLDAVEIS;AF;PC;50.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;LUVA;False;25.0;0.0338;792.0;UN;792.0;ORIGINAL_NAO_TUBO;;PC;792.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;792.0
70;1101359;"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:EQUIVALENCIA MERCADO: 3/4POL;CONFORME NORMA: ABNT NBR 5648;COR:MARROM;CLASSE PRESSAO:7,50KGF/CM2;NORMA:NBR 5648";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:EQUIVALENCIA MERCADO: 3/4POL;CONFORME NORMA: ABNT NBR 5648;COR:MARROM;CLASSE PRESSAO:7,50KGF/CM2;NORMA:NBR 5648";1200.0;UN;UN;0.67;804.0;3;[26, 27, 28, 29, 30, 31, 32];0.8;ok_com_ressalvas;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;DADOS EXTRAS:EQUIVALENCIA MERCADO: 3/4POL;CONFORME NORMA: ABNT NBR 5648;COR:MARROM;CLASSE PRESSAO:7,50KGF/CM2;NORMA:NBR 5648";1200.0;UN;1101359;True;455;TE SOLD - 25MM;TE SOLDAVEL - 25MM;CONEXOES SOLDAVEIS;AF;PC;50.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TE;False;25.0;0.064;1200.0;UN;1200.0;ORIGINAL_NAO_TUBO;;PC;1200.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;1200.0
80;1101382;"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";100.0;UN;UN;10.11;1011.0;4;[16, 17, 18, 19, 20, 21, 22, 23];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:20MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";100.0;UN;1101382;True;23;TUBO PVC SOLDAVEL - 6M - 20MM;TUBO PVC SOLDAVEL - 6M - 20MM;TUBOS PVC SOLDAVEL;AF;BR;12.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;20.0;6.0;100.0;UN;100.0;BARRA_DIRETA_OC_UN;1.0;BR;100.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;100.0
90;1101383;"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";200.0;UN;UN;12.12;2424.0;4;[24, 25, 26, 27, 28, 29, 30, 31];0.92;ok;['observacao_comercial_detectada', 'texto_observacao=SOLUCAO LIMPEZA PREPARADORA 1000ML', 'bloco_encerrado_por_separador', 'validacao:total_confere'];"TUBO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:25MM;COMPRIMENTO:6000MM;DADOS EXTRAS:COR:MARROM;NORMA:NBR 5648";200.0;UN;1101383;True;24;TUBO PVC SOLDAVEL - 6M - 25MM;TUBO PVC SOLDAVEL - 6M - 25MM;TUBOS PVC SOLDAVEL;AF;BR;8.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;TUBO;True;25.0;6.0;200.0;UN;200.0;BARRA_DIRETA_OC_UN;1.0;BR;200.0;BARRA_DIRETA_OC_UN;BARRA_DIRETA_OC_UN;False;200.0
100;1101528;"CURVA PVC RIGIDO PREDIAL;ANGULO:90GR;RAIO:CURTO;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:40MM;DADOS EXTRAS:NORMA:NBR 7362/5688;SERIE:NORMAL";"CURVA PVC RIGIDO PREDIAL;ANGULO:90GR;RAIO:CURTO;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:40MM;DADOS EXTRAS:NORMA:NBR 7362/5688;SERIE:NORMAL";200.0;UN;UN;2.37;474.0;4;[32, 33, 34];0.8;ok_com_ressalvas;['bloco_interrompido_por_bloco_administrativo', 'item_interrompido_por_bloco_administrativo', 'validacao:total_confere'];"CURVA PVC RIGIDO PREDIAL;ANGULO:90GR;RAIO:CURTO;P/:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:40MM;DADOS EXTRAS:NORMA:NBR 7362/5688;SERIE:NORMAL";200.0;UN;1101528;True;599;CURVA 90 CURTA P/ESG.SEC - DN 40;CURVA 90 CURTA P ESGOTO.SECUNDARIO - DN 40;CONEXOES ESGOTO SECUNDARIO;ESGOTO;PC;25.0;1.0;1.0;1.0;MATCH_CODIGO_MRV;False;MATCH_DIRETO_CODIGO_MRV;JOELHO;False;40.0;0.087;200.0;UN;200.0;ORIGINAL_NAO_TUBO;;PC;200.0;ORIGINAL_NAO_TUBO;ORIGINAL_NAO_TUBO;False;200.0
